Date,n,P,score_window
2021-09-24,16,0.28,244.7316249999858
2021-09-27,16,0.28,292.88995833331865
2021-09-28,18,0.1,251.60083333334114
2021-09-29,20,0.1,253.45362500000556
2021-09-30,20,0.1,279.2245416666665
2021-10-01,12,0.1,371.2641666666714
2021-10-04,12,0.1,349.5704166666728
2021-10-05,12,0.1,345.08895833333736
2021-10-06,12,0.1,327.2833333333401
2021-10-07,12,0.1,423.9166666666715
2021-10-08,16,0.28,345.8342916666479
2021-10-11,16,0.28,345.8342916666479
2021-10-12,26,0.3,293.6901282051076
2021-10-13,26,0.3,293.6901282051076
2021-10-14,26,0.3,231.34060897434028
2021-10-18,26,0.3,232.040608974341
2021-10-19,24,0.24,235.5803333333206
2021-10-20,24,0.24,166.52199999998993
2021-10-21,12,0.22,342.2088749999966
2021-10-22,12,0.22,395.97787499999686
2021-10-25,12,0.22,407.6818749999984
2021-10-26,12,0.22,364.0735416666648
2021-10-27,12,0.22,417.64854166666555
2021-10-28,12,0.22,368.15304166666465
2021-10-29,12,0.22,402.518250000001
2021-11-01,12,0.22,382.54324999999517
2021-11-02,12,0.22,423.9932499999959
2021-11-03,12,0.22,417.59324999999444
2021-11-08,12,0.22,436.86249999999563
2021-11-09,12,0.22,391.00049999999464
2021-11-10,12,0.22,391.00049999999464
2021-11-11,12,0.22,398.125499999991
2021-11-12,12,0.22,290.1754999999903
2021-11-15,12,0.22,332.375499999991
2021-11-16,28,0.12,318.80692857142276
2021-11-17,28,0.12,411.05692857142276
2021-11-18,28,0.12,408.1819285714264
2021-11-22,20,0.12,443.653199999997
2021-11-23,20,0.12,453.92579999999725
2021-11-24,20,0.12,505.8849499999924
2021-11-25,20,0.12,515.7463499999903
2021-11-26,28,0.16,561.6619047618951
2021-11-29,28,0.16,614.9361904761827
2021-11-30,20,0.12,581.0495333333201
2021-12-01,28,0.1,529.8576190476088
2021-12-02,28,0.1,511.38261904761384
2021-12-03,28,0.1,519.607976190473
2021-12-06,24,0.1,558.5955208333326
2021-12-07,24,0.1,566.9420833333352
2021-12-08,24,0.1,574.5173958333326
2021-12-09,24,0.1,625.5466666666689
2021-12-10,14,0.1,576.5782738095222
2021-12-13,14,0.1,541.428809523808
2021-12-14,14,0.28,589.184999999994
2021-12-15,14,0.28,589.184999999994
2021-12-16,14,0.28,587.2849999999962
2021-12-17,18,0.28,562.1063333333332
2021-12-20,18,0.28,598.9063333333324
2021-12-21,18,0.28,613.0661666666674
2021-12-22,18,0.1,443.7929166666727
2021-12-23,18,0.1,422.76958333333823
2021-12-24,20,0.3,350.783875000001
2021-12-27,16,0.1,323.42822916666773
2021-12-28,16,0.1,301.806354166667
2021-12-29,12,0.2,324.8341666666638
2021-12-30,12,0.2,324.8341666666638
