Date,vix,Position,Action,CE_Time,PE_Time,Index Value,CE_OTM,PE_OTM,Exit,ExpiryDate,DaysToExpiry,CE_OTM_Premium,PE_OTM_Premium,CE_Stoploss,PE_Stoploss,CE_OTM_New_Premium,PE_OTM_New_Premium,CE_Stoploss,CE_Exit_Reason,PE_Stoploss,PE_Exit_Reason,CE High Value,PE High Value,Premium
2023-12-14,11.86,1,Short,09:25:00,09:25:00,21103.25,21150,21000,,2023-12-14,0,13.2,7.3,1,0,,6.75,,,,,,,20.5
2023-12-14,11.86,0,Long,09:26:00,13:46:00,21103.25,21150,21000,,2023-12-14,0,19.404,0.7,1,0,,,18.48,Initial Stoploss Exit - Exiting at 5pt above SL,0,Exiting at target,22.8,0.8,-20.104
2024-04-04,11.25,1,Short,09:25:00,09:25:00,22545.5,22700,22350,,2024-04-04,0,7.0,10.65,0,1,7.1,,,,,,,,17.65
2024-04-04,11.25,0,Long,14:21:00,09:29:00,22545.5,22700,22350,,2024-04-04,0,0.7,15.6555,0,1,,,0,Exiting at target,14.91,Initial Stoploss Exit - Exiting at 5pt above SL,0.95,16.6,-16.3555
2024-04-10,11.29,1,Short,09:25:00,09:25:00,22705.4,22850,22500,,2024-04-10,0,8.55,8.95,1,0,,7.8,,,,,,,17.5
2024-04-10,11.29,0,Long,09:34:00,14:20:00,22705.4,22850,22500,,2024-04-10,0,12.0,0.85,1,0,,,11.97,Initial Stoploss Exit - Exiting at High,0,Exiting at target,12.0,1.0,-12.85
2024-04-25,10.7,1,Short,09:25:00,09:25:00,22325.15,22500,22150,,2024-04-25,0,9.75,8.75,1,1,,8.7,,,,,,,18.5
2024-04-25,10.7,0,Long,09:26:00,10:51:00,22325.15,22500,22150,,2024-04-25,0,14.0,12.788999999999998,1,1,,,13.65,Initial Stoploss Exit - Exiting at High,12.179999999999998,Initial Stoploss Exit - Exiting at 5pt above SL,14.0,30.0,-26.788999999999998
2023-06-01,11.72,1,Short,09:25:00,09:25:00,18538.95,18600,18450,,2023-06-01,0,14.55,9.05,1,1,,5.95,,,,,,,23.6
2023-06-01,11.72,0,Long,09:42:00,12:04:00,18538.95,18600,18450,,2023-06-01,0,21.3885,8.4,1,1,,,20.37,Initial Stoploss Exit - Exiting at 5pt above SL,8.33,Initial Stoploss Exit - Exiting at High,22.6,8.4,-29.7885
2023-06-08,11.35,1,Short,09:25:00,09:25:00,18739.85,18800,18650,,2023-06-08,0,11.15,8.85,1,1,,7.7,,,,,,,20.0
2023-06-08,11.35,0,Long,09:52:00,11:59:00,18739.85,18800,18650,,2023-06-08,0,16.3905,11.318999999999999,1,1,,,15.61,Initial Stoploss Exit - Exiting at 5pt above SL,10.78,Initial Stoploss Exit - Exiting at 5pt above SL,18.75,11.75,-27.7095
2023-06-15,11.21,1,Short,09:25:00,09:25:00,18729.65,18800,18650,,2023-06-15,0,8.05,8.85,1,1,,5.1,,,,,,,16.9
2023-06-15,11.21,0,Long,09:45:00,11:34:00,18729.65,18800,18650,,2023-06-15,0,11.833500000000003,7.2,1,1,,,11.270000000000001,Initial Stoploss Exit - Exiting at 5pt above SL,7.139999999999999,Initial Stoploss Exit - Exiting at High,12.9,7.2,-19.033500000000004
2023-06-22,11.42,1,Short,09:25:00,09:25:00,18862.25,18950,18750,,2023-06-22,0,6.85,6.9,1,1,,6.15,,,,,,,13.75
2023-06-22,11.42,0,Long,09:31:00,12:09:00,18862.25,18950,18750,,2023-06-22,0,9.9,9.0405,1,1,,,9.59,Initial Stoploss Exit - Exiting at High,8.61,Initial Stoploss Exit - Exiting at 5pt above SL,9.9,9.55,-18.9405
2023-06-28,10.83,1,Short,09:25:00,09:25:00,18867.9,18950,18800,,2023-06-28,0,7.6,13.5,1,0,,9.7,,,,,,,21.1
2023-06-28,10.83,0,Long,09:51:00,14:19:00,18867.9,18950,18800,,2023-06-28,0,11.172,1.3,1,0,,,10.64,Initial Stoploss Exit - Exiting at 5pt above SL,0,Exiting at target,15.95,1.45,-12.472000000000001
2023-07-13,10.84,1,Short,09:25:00,09:25:00,19481.85,19550,19400,,2023-07-13,0,14.1,11.5,1,1,,7.65,,,,,,,25.6
